Date : 2025-04-19 15:59:56
Directory : c:\Flutter Projects\nascon\nascon
Total : 111 files,  2920 codes, 329 comments, 481 blanks, all 3730 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| _templates\screen\with-prompt                                                                   |          4 |         47 |          3 |         11 |         61 |
| _templates\screen\with-prompt (Files)                                                           |          1 |         27 |          3 |          5 |         35 |
| _templates\screen\with-prompt\files                                                             |          3 |         20 |          0 |          6 |         26 |
| android                                                                                         |         10 |        103 |         51 |         11 |        165 |
| android (Files)                                                                                 |          1 |          3 |          0 |          1 |          4 |
| android\app                                                                                     |          8 |         95 |         51 |          9 |        155 |
| android\app (Files)                                                                             |          1 |         29 |          0 |          0 |         29 |
| android\app\src                                                                                 |          7 |         66 |         51 |          9 |        126 |
| android\app\src\debug                                                                           |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                            |          5 |         60 |         43 |          7 |        110 |
| android\app\src\main (Files)                                                                    |          1 |         34 |         11 |          1 |         46 |
| android\app\src\main\res                                                                        |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                               |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                           |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                 |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                           |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                         |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                  |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                          |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                             |          9 |        261 |          6 |         23 |        290 |
| ios (Files)                                                                                     |          1 |         32 |          2 |         10 |         44 |
| ios\Runner                                                                                      |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                              |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                 |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                      |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                   |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                 |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                           |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                             |         48 |      1,204 |         26 |        139 |      1,369 |
| lib (Files)                                                                                     |          2 |         91 |         13 |         10 |        114 |
| lib\configs                                                                                     |          4 |         39 |          1 |         15 |         55 |
| lib\router                                                                                      |          2 |         60 |          0 |          8 |         68 |
| lib\screens                                                                                     |         35 |        847 |          8 |         85 |        940 |
| lib\screens\calendar                                                                            |          3 |        140 |          7 |         18 |        165 |
| lib\screens\calendar (Files)                                                                    |          2 |         21 |          0 |          5 |         26 |
| lib\screens\calendar\widgets                                                                    |          1 |        119 |          7 |         13 |        139 |
| lib\screens\chat                                                                                |          4 |         98 |          0 |          9 |        107 |
| lib\screens\chat (Files)                                                                        |          2 |         24 |          0 |          4 |         28 |
| lib\screens\chat\widgets                                                                        |          2 |         74 |          0 |          5 |         79 |
| lib\screens\chatbox                                                                             |          4 |        148 |          0 |          8 |        156 |
| lib\screens\chatbox (Files)                                                                     |          2 |         24 |          0 |          3 |         27 |
| lib\screens\chatbox\widgets                                                                     |          2 |        124 |          0 |          5 |        129 |
| lib\screens\dashboard                                                                           |          3 |         11 |          0 |          3 |         14 |
| lib\screens\dashboard (Files)                                                                   |          2 |          8 |          0 |          2 |         10 |
| lib\screens\dashboard\widgets                                                                   |          1 |          3 |          0 |          1 |          4 |
| lib\screens\notification                                                                        |          3 |         11 |          0 |          3 |         14 |
| lib\screens\notification (Files)                                                                |          2 |          8 |          0 |          2 |         10 |
| lib\screens\notification\widgets                                                                |          1 |          3 |          0 |          1 |          4 |
| lib\screens\project                                                                             |          4 |        126 |          0 |          9 |        135 |
| lib\screens\project (Files)                                                                     |          2 |         23 |          0 |          3 |         26 |
| lib\screens\project\widgets                                                                     |          2 |        103 |          0 |          6 |        109 |
| lib\screens\search                                                                              |          3 |         92 |          0 |          8 |        100 |
| lib\screens\search (Files)                                                                      |          2 |         19 |          0 |          3 |         22 |
| lib\screens\search\widgets                                                                      |          1 |         73 |          0 |          5 |         78 |
| lib\screens\setting_one                                                                         |          3 |         62 |          0 |          5 |         67 |
| lib\screens\setting_one (Files)                                                                 |          2 |         18 |          0 |          3 |         21 |
| lib\screens\setting_one\widgets                                                                 |          1 |         44 |          0 |          2 |         46 |
| lib\screens\settings                                                                            |          3 |         11 |          0 |          3 |         14 |
| lib\screens\settings (Files)                                                                    |          2 |          8 |          0 |          2 |         10 |
| lib\screens\settings\widgets                                                                    |          1 |          3 |          0 |          1 |          4 |
| lib\screens\task                                                                                |          5 |        148 |          1 |         19 |        168 |
| lib\screens\task (Files)                                                                        |          2 |         21 |          0 |          3 |         24 |
| lib\screens\task\widgets                                                                        |          3 |        127 |          1 |         16 |        144 |
| lib\static                                                                                      |          1 |          4 |          1 |          1 |          6 |
| lib\widgets                                                                                     |          4 |        163 |          3 |         20 |        186 |
| lib\widgets\core                                                                                |          4 |        163 |          3 |         20 |        186 |
| linux                                                                                           |          5 |        107 |         37 |         45 |        189 |
| linux\flutter                                                                                   |          2 |         12 |          9 |         11 |         32 |
| linux\runner                                                                                    |          3 |         95 |         28 |         34 |        157 |
| macos                                                                                           |          7 |        493 |          6 |         27 |        526 |
| macos (Files)                                                                                   |          1 |         32 |          1 |         10 |         43 |
| macos\Flutter                                                                                   |          1 |         20 |          3 |          4 |         27 |
| macos\Runner                                                                                    |          4 |        434 |          0 |          9 |        443 |
| macos\Runner (Files)                                                                            |          2 |         23 |          0 |          7 |         30 |
| macos\RunnerTests                                                                               |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                    |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                 |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                         |          1 |        343 |          0 |          1 |        344 |
| test                                                                                            |          1 |         14 |         10 |          7 |         31 |
| web                                                                                             |          2 |         54 |         15 |          6 |         75 |
| windows                                                                                         |         10 |        448 |         94 |        143 |        685 |
| windows\flutter                                                                                 |          2 |         20 |          9 |         11 |         40 |
| windows\runner                                                                                  |          8 |        428 |         85 |        132 |        645 |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                        | language        | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| c:\Flutter Projects\nascon\nascon\README.md                                                     | Markdown        |         10 |          0 |          7 |         17 |
| c:\Flutter Projects\nascon\nascon\_templates\bloc\with-prompt\bloc.dart.ejs                     | HTML            |         18 |          0 |          5 |         23 |
| c:\Flutter Projects\nascon\nascon\_templates\bloc\with-prompt\data_provider.dart.ejs            | HTML            |          7 |          0 |          3 |         10 |
| c:\Flutter Projects\nascon\nascon\_templates\bloc\with-prompt\event.dart.ejs                    | HTML            |          9 |          0 |          4 |         13 |
| c:\Flutter Projects\nascon\nascon\_templates\bloc\with-prompt\prompt.js                         | JavaScript      |         19 |          0 |          2 |         21 |
| c:\Flutter Projects\nascon\nascon\_templates\bloc\with-prompt\state.dart.ejs                    | HTML            |         17 |          0 |          6 |         23 |
| c:\Flutter Projects\nascon\nascon\_templates\bloc\with-prompt\states\_test.dart.ejs             | HTML            |         28 |          0 |         10 |         38 |
| c:\Flutter Projects\nascon\nascon\_templates\generator\help\index.ejs.t                         | Perl            |          5 |          0 |          0 |          5 |
| c:\Flutter Projects\nascon\nascon\_templates\generator\new\hello.ejs.t                          | Perl            |         13 |          0 |          6 |         19 |
| c:\Flutter Projects\nascon\nascon\_templates\generator\with-prompt\hello.ejs.t                  | Perl            |         13 |          0 |          6 |         19 |
| c:\Flutter Projects\nascon\nascon\_templates\generator\with-prompt\prompt.ejs.t                 | Perl            |         13 |          0 |          2 |         15 |
| c:\Flutter Projects\nascon\nascon\_templates\init\repo\new-repo.ejs.t                           | Perl            |          4 |          0 |          1 |          5 |
| c:\Flutter Projects\nascon\nascon\_templates\screen\with-prompt\files\_body.dart.ejs            | HTML            |          6 |          0 |          2 |          8 |
| c:\Flutter Projects\nascon\nascon\_templates\screen\with-prompt\files\_state.dart.ejs           | HTML            |          6 |          0 |          2 |          8 |
| c:\Flutter Projects\nascon\nascon\_templates\screen\with-prompt\files\screen.dart.ejs           | HTML            |          8 |          0 |          2 |         10 |
| c:\Flutter Projects\nascon\nascon\_templates\screen\with-prompt\prompt.js                       | JavaScript      |         27 |          3 |          5 |         35 |
| c:\Flutter Projects\nascon\nascon\analysis_options.yaml                                         | YAML            |          3 |         22 |          4 |         29 |
| c:\Flutter Projects\nascon\nascon\android\app\google-services.json                              | JSON            |         29 |          0 |          0 |         29 |
| c:\Flutter Projects\nascon\nascon\android\app\src\debug\AndroidManifest.xml                     | XML             |          3 |          4 |          1 |          8 |
| c:\Flutter Projects\nascon\nascon\android\app\src\main\AndroidManifest.xml                      | XML             |         34 |         11 |          1 |         46 |
| c:\Flutter Projects\nascon\nascon\android\app\src\main\res\drawable-v21\launch_background.xml   | XML             |          4 |          7 |          2 |         13 |
| c:\Flutter Projects\nascon\nascon\android\app\src\main\res\drawable\launch_background.xml       | XML             |          4 |          7 |          2 |         13 |
| c:\Flutter Projects\nascon\nascon\android\app\src\main\res\values-night\styles.xml              | XML             |          9 |          9 |          1 |         19 |
| c:\Flutter Projects\nascon\nascon\android\app\src\main\res\values\styles.xml                    | XML             |          9 |          9 |          1 |         19 |
| c:\Flutter Projects\nascon\nascon\android\app\src\profile\AndroidManifest.xml                   | XML             |          3 |          4 |          1 |          8 |
| c:\Flutter Projects\nascon\nascon\android\gradle.properties                                     | Java Properties |          3 |          0 |          1 |          4 |
| c:\Flutter Projects\nascon\nascon\android\gradle\wrapper\gradle-wrapper.properties              | Java Properties |          5 |          0 |          1 |          6 |
| c:\Flutter Projects\nascon\nascon\firebase.json                                                 | JSON            |          1 |          0 |          0 |          1 |
| c:\Flutter Projects\nascon\nascon\ios\Podfile                                                   | Ruby            |         32 |          2 |         10 |         44 |
| c:\Flutter Projects\nascon\nascon\ios\RunnerTests\RunnerTests.swift                             | Swift           |          7 |          2 |          4 |         13 |
| c:\Flutter Projects\nascon\nascon\ios\Runner\AppDelegate.swift                                  | Swift           |         12 |          0 |          2 |         14 |
| c:\Flutter Projects\nascon\nascon\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON            |        122 |          0 |          1 |        123 |
| c:\Flutter Projects\nascon\nascon\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json | JSON            |         23 |          0 |          1 |         24 |
| c:\Flutter Projects\nascon\nascon\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown        |          3 |          0 |          2 |          5 |
| c:\Flutter Projects\nascon\nascon\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML             |         36 |          1 |          1 |         38 |
| c:\Flutter Projects\nascon\nascon\ios\Runner\Base.lproj\Main.storyboard                         | XML             |         25 |          1 |          1 |         27 |
| c:\Flutter Projects\nascon\nascon\ios\Runner\Runner-Bridging-Header.h                           | C++             |          1 |          0 |          1 |          2 |
| c:\Flutter Projects\nascon\nascon\lib\configs\_app_images.dart                                  | Dart            |          5 |          0 |          3 |          8 |
| c:\Flutter Projects\nascon\nascon\lib\configs\_app_theme.dart                                   | Dart            |         11 |          0 |          2 |         13 |
| c:\Flutter Projects\nascon\nascon\lib\configs\_string_ext.dart                                  | Dart            |         19 |          1 |          8 |         28 |
| c:\Flutter Projects\nascon\nascon\lib\configs\configs.dart                                      | Dart            |          4 |          0 |          2 |          6 |
| c:\Flutter Projects\nascon\nascon\lib\firebase_options.dart                                     | Dart            |         53 |         12 |          4 |         69 |
| c:\Flutter Projects\nascon\nascon\lib\main.dart                                                 | Dart            |         38 |          1 |          6 |         45 |
| c:\Flutter Projects\nascon\nascon\lib\router\router.dart                                        | Dart            |         51 |          0 |          7 |         58 |
| c:\Flutter Projects\nascon\nascon\lib\router\routes.dart                                        | Dart            |          9 |          0 |          1 |         10 |
| c:\Flutter Projects\nascon\nascon\lib\screens\calendar\_state.dart                              | Dart            |          5 |          0 |          2 |          7 |
| c:\Flutter Projects\nascon\nascon\lib\screens\calendar\calendar.dart                            | Dart            |         16 |          0 |          3 |         19 |
| c:\Flutter Projects\nascon\nascon\lib\screens\calendar\widgets\_body.dart                       | Dart            |        119 |          7 |         13 |        139 |
| c:\Flutter Projects\nascon\nascon\lib\screens\chat\_state.dart                                  | Dart            |          5 |          0 |          2 |          7 |
| c:\Flutter Projects\nascon\nascon\lib\screens\chat\chat.dart                                    | Dart            |         19 |          0 |          2 |         21 |
| c:\Flutter Projects\nascon\nascon\lib\screens\chat\widgets\_body.dart                           | Dart            |         33 |          0 |          2 |         35 |
| c:\Flutter Projects\nascon\nascon\lib\screens\chat\widgets\_chat_tile.dart                      | Dart            |         41 |          0 |          3 |         44 |
| c:\Flutter Projects\nascon\nascon\lib\screens\chatbox\_state.dart                               | Dart            |          3 |          0 |          1 |          4 |
| c:\Flutter Projects\nascon\nascon\lib\screens\chatbox\chatbox.dart                              | Dart            |         21 |          0 |          2 |         23 |
| c:\Flutter Projects\nascon\nascon\lib\screens\chatbox\widgets\_body.dart                        | Dart            |         95 |          0 |          2 |         97 |
| c:\Flutter Projects\nascon\nascon\lib\screens\chatbox\widgets\_message_tile.dart                | Dart            |         29 |          0 |          3 |         32 |
| c:\Flutter Projects\nascon\nascon\lib\screens\dashboard\_state.dart                             | Dart            |          3 |          0 |          1 |          4 |
| c:\Flutter Projects\nascon\nascon\lib\screens\dashboard\dashboard.dart                          | Dart            |          5 |          0 |          1 |          6 |
| c:\Flutter Projects\nascon\nascon\lib\screens\dashboard\widgets\_body.dart                      | Dart            |          3 |          0 |          1 |          4 |
| c:\Flutter Projects\nascon\nascon\lib\screens\notification\_state.dart                          | Dart            |          3 |          0 |          1 |          4 |
| c:\Flutter Projects\nascon\nascon\lib\screens\notification\notification.dart                    | Dart            |          5 |          0 |          1 |          6 |
| c:\Flutter Projects\nascon\nascon\lib\screens\notification\widgets\_body.dart                   | Dart            |          3 |          0 |          1 |          4 |
| c:\Flutter Projects\nascon\nascon\lib\screens\project\_state.dart                               | Dart            |          3 |          0 |          1 |          4 |
| c:\Flutter Projects\nascon\nascon\lib\screens\project\project.dart                              | Dart            |         20 |          0 |          2 |         22 |
| c:\Flutter Projects\nascon\nascon\lib\screens\project\widgets\_body.dart                        | Dart            |         30 |          0 |          3 |         33 |
| c:\Flutter Projects\nascon\nascon\lib\screens\project\widgets\_project_tile.dart                | Dart            |         73 |          0 |          3 |         76 |
| c:\Flutter Projects\nascon\nascon\lib\screens\search\_state.dart                                | Dart            |          3 |          0 |          1 |          4 |
| c:\Flutter Projects\nascon\nascon\lib\screens\search\search.dart                                | Dart            |         16 |          0 |          2 |         18 |
| c:\Flutter Projects\nascon\nascon\lib\screens\search\widgets\_body.dart                         | Dart            |         73 |          0 |          5 |         78 |
| c:\Flutter Projects\nascon\nascon\lib\screens\setting_one\_state.dart                           | Dart            |          3 |          0 |          1 |          4 |
| c:\Flutter Projects\nascon\nascon\lib\screens\setting_one\setting_one.dart                      | Dart            |         15 |          0 |          2 |         17 |
| c:\Flutter Projects\nascon\nascon\lib\screens\setting_one\widgets\_body.dart                    | Dart            |         44 |          0 |          2 |         46 |
| c:\Flutter Projects\nascon\nascon\lib\screens\settings\_state.dart                              | Dart            |          3 |          0 |          1 |          4 |
| c:\Flutter Projects\nascon\nascon\lib\screens\settings\settings.dart                            | Dart            |          5 |          0 |          1 |          6 |
| c:\Flutter Projects\nascon\nascon\lib\screens\settings\widgets\_body.dart                       | Dart            |          3 |          0 |          1 |          4 |
| c:\Flutter Projects\nascon\nascon\lib\screens\task\_state.dart                                  | Dart            |          3 |          0 |          1 |          4 |
| c:\Flutter Projects\nascon\nascon\lib\screens\task\task.dart                                    | Dart            |         18 |          0 |          2 |         20 |
| c:\Flutter Projects\nascon\nascon\lib\screens\task\widgets\_body.dart                           | Dart            |         71 |          0 |          9 |         80 |
| c:\Flutter Projects\nascon\nascon\lib\screens\task\widgets\_card.dart                           | Dart            |         18 |          1 |          3 |         22 |
| c:\Flutter Projects\nascon\nascon\lib\screens\task\widgets\_scroll_tile.dart                    | Dart            |         38 |          0 |          4 |         42 |
| c:\Flutter Projects\nascon\nascon\lib\static\static.dart                                        | Dart            |          4 |          1 |          1 |          6 |
| c:\Flutter Projects\nascon\nascon\lib\widgets\core\app_appbar.dart                              | Dart            |         40 |          0 |          4 |         44 |
| c:\Flutter Projects\nascon\nascon\lib\widgets\core\app_icon_button.dart                         | Dart            |         34 |          0 |          3 |         37 |
| c:\Flutter Projects\nascon\nascon\lib\widgets\core\app_textfield.dart                           | Dart            |         41 |          3 |          6 |         50 |
| c:\Flutter Projects\nascon\nascon\lib\widgets\core\bottom_navigation_bar.dart                   | Dart            |         48 |          0 |          7 |         55 |
| c:\Flutter Projects\nascon\nascon\linux\flutter\generated_plugin_registrant.cc                  | C++             |          7 |          4 |          5 |         16 |
| c:\Flutter Projects\nascon\nascon\linux\flutter\generated_plugin_registrant.h                   | C++             |          5 |          5 |          6 |         16 |
| c:\Flutter Projects\nascon\nascon\linux\runner\main.cc                                          | C++             |          5 |          0 |          2 |          7 |
| c:\Flutter Projects\nascon\nascon\linux\runner\my_application.cc                                | C++             |         83 |         21 |         27 |        131 |
| c:\Flutter Projects\nascon\nascon\linux\runner\my_application.h                                 | C++             |          7 |          7 |          5 |         19 |
| c:\Flutter Projects\nascon\nascon\macos\Flutter\GeneratedPluginRegistrant.swift                 | Swift           |         20 |          3 |          4 |         27 |
| c:\Flutter Projects\nascon\nascon\macos\Podfile                                                 | Ruby            |         32 |          1 |         10 |         43 |
| c:\Flutter Projects\nascon\nascon\macos\RunnerTests\RunnerTests.swift                           | Swift           |          7 |          2 |          4 |         13 |
| c:\Flutter Projects\nascon\nascon\macos\Runner\AppDelegate.swift                                | Swift           |         11 |          0 |          3 |         14 |
| c:\Flutter Projects\nascon\nascon\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json | JSON            |         68 |          0 |          1 |         69 |
| c:\Flutter Projects\nascon\nascon\macos\Runner\Base.lproj\MainMenu.xib                          | XML             |        343 |          0 |          1 |        344 |
| c:\Flutter Projects\nascon\nascon\macos\Runner\MainFlutterWindow.swift                          | Swift           |         12 |          0 |          4 |         16 |
| c:\Flutter Projects\nascon\nascon\pubspec.yaml                                                  | YAML            |         29 |         59 |         13 |        101 |
| c:\Flutter Projects\nascon\nascon\test\widget_test.dart                                         | Dart            |         14 |         10 |          7 |         31 |
| c:\Flutter Projects\nascon\nascon\web\index.html                                                | HTML            |         19 |         15 |          5 |         39 |
| c:\Flutter Projects\nascon\nascon\web\manifest.json                                             | JSON            |         35 |          0 |          1 |         36 |
| c:\Flutter Projects\nascon\nascon\windows\flutter\generated_plugin_registrant.cc                | C++             |         15 |          4 |          5 |         24 |
| c:\Flutter Projects\nascon\nascon\windows\flutter\generated_plugin_registrant.h                 | C++             |          5 |          5 |          6 |         16 |
| c:\Flutter Projects\nascon\nascon\windows\runner\flutter_window.cpp                             | C++             |         49 |          7 |         16 |         72 |
| c:\Flutter Projects\nascon\nascon\windows\runner\flutter_window.h                               | C++             |         20 |          5 |          9 |         34 |
| c:\Flutter Projects\nascon\nascon\windows\runner\main.cpp                                       | C++             |         30 |          4 |         10 |         44 |
| c:\Flutter Projects\nascon\nascon\windows\runner\resource.h                                     | C++             |          9 |          6 |          2 |         17 |
| c:\Flutter Projects\nascon\nascon\windows\runner\utils.cpp                                      | C++             |         54 |          2 |         10 |         66 |
| c:\Flutter Projects\nascon\nascon\windows\runner\utils.h                                        | C++             |          8 |          6 |          6 |         20 |
| c:\Flutter Projects\nascon\nascon\windows\runner\win32_window.cpp                               | C++             |        210 |         24 |         55 |        289 |
| c:\Flutter Projects\nascon\nascon\windows\runner\win32_window.h                                 | C++             |         48 |         31 |         24 |        103 |
| Total                                                                                           |                 |      2,920 |        329 |        481 |      3,730 |
+-------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
